工作流名称,工作流Code,Cron表达式,状态,更新时间,备注
ods穿透率_gov,21442484842720,0 0 2 * * ? *,ONLINE,2026-04-23,
精准营销撞库,21374766473967,0 0,30 * * * ? *,ONLINE,2026-04-17,
菲律宾-数仓工作流（1M）,16231488549218,0 30 7 1 1-12 ? *,ONLINE,2026-03-30,
菲律宾-数仓工作流（1H）,15845044782816,1 0 0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23 * * ? *,ONLINE,2026-01-23,
【HIVE】- 每日全量用户表同步,20355649354722,0 25 0 * * ? *,ONLINE,2026-01-15,
投放表日常调度,20092016971616,0 43 4,7,12,13,14,16,18,9 * * ? *,ONLINE,2026-01-05,
ADS_3100(1D),20135163966827,0 0 0 1 * ? *,OFFLINE,2025-12-26,
菲律宾-数仓工作流（1D）,15845044707680,1 25 3,8,12 * * ? *,ONLINE,2025-12-10,
菲律宾-数仓工作流（1/2H）,15845044642912,0 48 0,2,4,12,14,16,18,20,22,9,7 * * ? *,ONLINE,2025-11-13,
菲律宾-数仓工作流（1H）-NEW,19546420608615,1 35 0,1,2,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23 * * ? *,ONLINE,2025-11-03,
菲律宾-宽表全量工作流（1D）,16097971059936,0 3 3 * * ? *,OFFLINE,2024-12-26,
菲律宾-贷后组织架构快照（1D）,15845044700512,0 0 8 * * ? *,ONLINE,2024-12-26,
